movie,similar_movie
Devil in a Blue Dress ,House of Games 
Devil in a Blue Dress ,Chinatown 
Devil in a Blue Dress ,Pure Formality
Die Hard: With a Vengeance ,Fast and the Furious
Die Hard: With a Vengeance ,U.S. Marshals 
Die Hard: With a Vengeance ,Blitz 
Die Hard: With a Vengeance ,Shepherd: Border Patrol
Die Hard: With a Vengeance ,Takers 
"Doom Generation, The ",Intermission 
"Doom Generation, The ",Girltrash: All Night Long 
"Doom Generation, The ",Spun 
"Doom Generation, The ",Dragnet 
"Doom Generation, The ",Crimes and Misdemeanors 
First Knight ,Days of Thunder 
First Knight ,Crouching Tiger
First Knight ,Bellflower 
First Knight ,House of Flying Daggers (Shi mian mai fu) 
Free Willy 2: The Adventure Home ,Andre 
Free Willy 2: The Adventure Home ,Free Willy 
Free Willy 2: The Adventure Home ,Babe: Pig in the City 
Free Willy 2: The Adventure Home ,Born Free 
Free Willy 2: The Adventure Home ,Black Stallion
Hackers ,Transporter 3 
Hackers ,Into the Blue 
Hackers ,Warriors
Hackers ,Live Free or Die Hard 
Jeffrey ,My Father the Hero (Mon père
Jeffrey ,Miracle on 34th Street 
Jeffrey ,Mrs. Doubtfire 
Jeffrey ,Liberal Arts 
Jeffrey ,Mental 
Johnny Mnemonic ,Island
Johnny Mnemonic ,Hangar 18 
Johnny Mnemonic ,Gamer 
Johnny Mnemonic ,X-Men Origins: Wolverine 
Johnny Mnemonic ,Total Recall 
Judge Dredd ,District 13 (Banlieue 13) 
Judge Dredd ,Suicide Squad 
Judge Dredd ,Looper 
Judge Dredd ,Tokyo Tribe 
Jury Duty ,Andrew Dice Clay: Dice Rules 
Jury Duty ,Night Shift 
Jury Duty ,Joe Dirt 2: Beautiful Loser 
Jury Duty ,I'm Starting From Three (Ricomincio da Tre) 
Jury Duty ,My Boyfriend's Back 
Kids ,French Lieutenant's Woman
Kids ,Camera Buff (Amator) 
Kids ,Children Are Watching Us
Kids ,Return of Martin Guerre
Kids ,Honey (Miele) 
Living in Oblivion ,Andrew Dice Clay: Dice Rules 
Living in Oblivion ,Night Shift 
Living in Oblivion ,Joe Dirt 2: Beautiful Loser 
Living in Oblivion ,I'm Starting From Three (Ricomincio da Tre) 
Living in Oblivion ,My Boyfriend's Back 
Lord of Illusions ,Eyes Without a Face (Yeux sans visage
Lord of Illusions ,Black Sabbath (Tre volti della paura
Lord of Illusions ,Loved Ones
Lord of Illusions ,Bones 
Love & Human Remains ,My Father the Hero (Mon père
Love & Human Remains ,Miracle on 34th Street 
Love & Human Remains ,Mrs. Doubtfire 
Love & Human Remains ,Liberal Arts 
Love & Human Remains ,Mental 
Mad Love ,Crazy/Beautiful 
Mad Love ,Memoirs of a Geisha 
Mad Love ,To Gillian on Her 37th Birthday 
Mad Love ,Beautiful Thing 
Mad Love ,Girl on the Bridge
Mallrats ,I'll Be Home For Christmas 
Mallrats ,Guru
Mallrats ,Hard Promises 
Mallrats ,40 Days and 40 Nights 
Mallrats ,10 
Mighty Morphin Power Rangers: The Movie ,3 Ninjas Knuckle Up 
Mighty Morphin Power Rangers: The Movie ,Karate Kid
Mighty Morphin Power Rangers: The Movie ,Spy Next Door
Mighty Morphin Power Rangers: The Movie ,3 Ninjas Kick Back 
Mute Witness ,Hip Hop Witch
Mute Witness ,Housebound 
Mute Witness ,Behind the Mask: The Rise of Leslie Vernon 
Mute Witness ,Hatchet II 
Nadja ,French Lieutenant's Woman
Nadja ,Camera Buff (Amator) 
Nadja ,Children Are Watching Us
Nadja ,Return of Martin Guerre
Nadja ,Honey (Miele) 
"Net, The ",Fast and the Furious
"Net, The ",U.S. Marshals 
"Net, The ",Blitz 
"Net, The ",Shepherd: Border Patrol
"Net, The ",Takers 
Nine Months ,I'll Be Home For Christmas 
Nine Months ,Guru
Nine Months ,Hard Promises 
Nine Months ,40 Days and 40 Nights 
Nine Months ,10 
Party Girl ,Andrew Dice Clay: Dice Rules 
Party Girl ,Night Shift 
Party Girl ,Joe Dirt 2: Beautiful Loser 
Party Girl ,I'm Starting From Three (Ricomincio da Tre) 
Party Girl ,My Boyfriend's Back 
"Prophecy, The ",Ninth Gate
"Prophecy, The ",Heartless 
"Prophecy, The ",Red Riding Hood 
"Prophecy, The ",Sleepy Hollow 
Reckless ,Drop Dead Fred 
Reckless ,Icicle Thief
Reckless ,Death Becomes Her 
Reckless ,Evan Almighty 
Safe ,Return to Sender 
Safe ,Torn Curtain 
Safe ,Cop 
Safe ,Hideaway 
Safe ,Swimfan 
"Scarlet Letter, The ",Crazy/Beautiful 
"Scarlet Letter, The ",Memoirs of a Geisha 
"Scarlet Letter, The ",To Gillian on Her 37th Birthday 
"Scarlet Letter, The ",Beautiful Thing 
"Scarlet Letter, The ",Girl on the Bridge
Showgirls ,French Lieutenant's Woman
Showgirls ,Camera Buff (Amator) 
Showgirls ,Children Are Watching Us
Showgirls ,Return of Martin Guerre
Showgirls ,Honey (Miele) 
Smoke ,My Father the Hero (Mon père
Smoke ,Miracle on 34th Street 
Smoke ,Mrs. Doubtfire 
Smoke ,Liberal Arts 
Smoke ,Mental 
Something to Talk About ,Jalla! Jalla! 
Something to Talk About ,Terminal
Something to Talk About ,10 Items or Less 
Something to Talk About ,For Roseanna (Roseanna's Grave) 
Something to Talk About ,Cooler
Species ,Parasyte: Part 2 
Species ,Brain That Wouldn't Die
Species ,Hellevator 
Species ,Swamp Thing 
Species ,Fly II
Strange Days ,X-Files: Fight the Future
Strange Days ,Minority Report 
Strange Days ,Source Code 
Strange Days ,Knowing 
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",Once 
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",42nd Street 
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",Yentl 
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",Phantom of the Opera
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ",Step Up 2 the Streets 
Three Wishes ,8 1/2 (8½) 
Three Wishes ,Endless Poetry 
Three Wishes ,Special 
Three Wishes ,Mood Indigo (L'écume des jours) 
Three Wishes ,Christmas Carol
Total Eclipse ,Crazy/Beautiful 
Total Eclipse ,Memoirs of a Geisha 
Total Eclipse ,To Gillian on Her 37th Birthday 
Total Eclipse ,Beautiful Thing 
Total Eclipse ,Girl on the Bridge
"To Wong Foo, Thanks for Everything! Julie Newmar ",Andrew Dice Clay: Dice Rules 
"To Wong Foo, Thanks for Everything! Julie Newmar ",Night Shift 
"To Wong Foo, Thanks for Everything! Julie Newmar ",Joe Dirt 2: Beautiful Loser 
"To Wong Foo, Thanks for Everything! Julie Newmar ",I'm Starting From Three (Ricomincio da Tre) 
"To Wong Foo, Thanks for Everything! Julie Newmar ",My Boyfriend's Back 
Under Siege 2: Dark Territory ,Tournament
Under Siege 2: Dark Territory ,Best of the Best 3: No Turning Back 
Under Siege 2: Dark Territory ,Ip Man 2 
Under Siege 2: Dark Territory ,Hunted
Under Siege 2: Dark Territory ,Lionheart 
Unstrung Heroes ,My Father the Hero (Mon père
Unstrung Heroes ,Miracle on 34th Street 
Unstrung Heroes ,Mrs. Doubtfire 
Unstrung Heroes ,Liberal Arts 
Unstrung Heroes ,Mental 
Unzipped ,Dancemaker 
Unzipped ,Regret to Inform 
Unzipped ,Little Dieter Needs to Fly 
Unzipped ,First Position 
Unzipped ,Amanda Knox 
"Walk in the Clouds, A ",Crazy/Beautiful 
"Walk in the Clouds, A ",Memoirs of a Geisha 
"Walk in the Clouds, A ",To Gillian on Her 37th Birthday 
"Walk in the Clouds, A ",Beautiful Thing 
"Walk in the Clouds, A ",Girl on the Bridge
Waterworld ,Ant-Man 
Waterworld ,20
Waterworld ,Time Machine
Waterworld ,X-Men: Days of Future Past 
White Man's Burden ,French Lieutenant's Woman
White Man's Burden ,Camera Buff (Amator) 
White Man's Burden ,Children Are Watching Us
White Man's Burden ,Return of Martin Guerre
White Man's Burden ,Honey (Miele) 
Wild Bill ,Open Range 
Wild Bill ,High Plains Drifter 
Wild Bill ,Winchester '73 
Wild Bill ,The Dark Valley 
Wild Bill ,True Grit 
"Browning Version, The ",French Lieutenant's Woman
"Browning Version, The ",Camera Buff (Amator) 
"Browning Version, The ",Children Are Watching Us
"Browning Version, The ",Return of Martin Guerre
"Browning Version, The ",Honey (Miele) 
Bushwhacked ,Seven-Per-Cent Solution
Bushwhacked ,No. 1 Ladies' Detective Agency
Bushwhacked ,Shot in the Dark
Bushwhacked ,Shadow of the Thin Man 
Burnt by the Sun (Utomlyonnye solntsem) ,French Lieutenant's Woman
Burnt by the Sun (Utomlyonnye solntsem) ,Camera Buff (Amator) 
Burnt by the Sun (Utomlyonnye solntsem) ,Children Are Watching Us
Burnt by the Sun (Utomlyonnye solntsem) ,Return of Martin Guerre
Burnt by the Sun (Utomlyonnye solntsem) ,Honey (Miele) 
Before the Rain (Pred dozhdot) ,Human Condition I
Before the Rain (Pred dozhdot) ,Boy in the Striped Pajamas
Before the Rain (Pred dozhdot) ,Ashes and Diamonds (Popiól i diament) 
Before the Rain (Pred dozhdot) ,Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
Before the Rain (Pred dozhdot) ,Gardens of Stone 
Before Sunrise ,Crazy/Beautiful 
Before Sunrise ,Memoirs of a Geisha 
Before Sunrise ,To Gillian on Her 37th Birthday 
Before Sunrise ,Beautiful Thing 
Before Sunrise ,Girl on the Bridge
Billy Madison ,Andrew Dice Clay: Dice Rules 
Billy Madison ,Night Shift 
Billy Madison ,Joe Dirt 2: Beautiful Loser 
Billy Madison ,I'm Starting From Three (Ricomincio da Tre) 
Billy Madison ,My Boyfriend's Back 
"Babysitter, The ",The Perfect Guy 
"Babysitter, The ",Niagara 
"Babysitter, The ",First Snow 
"Babysitter, The ",Firm
"Babysitter, The ",Bad Education (La mala educación) 
Boys on the Side ,My Father the Hero (Mon père
Boys on the Side ,Miracle on 34th Street 
Boys on the Side ,Mrs. Doubtfire 
Boys on the Side ,Liberal Arts 
Boys on the Side ,Mental 
"Cure, The ",French Lieutenant's Woman
"Cure, The ",Camera Buff (Amator) 
"Cure, The ",Children Are Watching Us
"Cure, The ",Return of Martin Guerre
"Cure, The ",Honey (Miele) 
Castle Freak ,Eyes Without a Face (Yeux sans visage
Castle Freak ,Black Sabbath (Tre volti della paura
Castle Freak ,Loved Ones
Castle Freak ,Lord of Illusions 
Castle Freak ,Bones 
Circle of Friends ,Crazy/Beautiful 
Circle of Friends ,Memoirs of a Geisha 
Circle of Friends ,To Gillian on Her 37th Birthday 
Circle of Friends ,Beautiful Thing 
Circle of Friends ,Girl on the Bridge
Clerks ,Andrew Dice Clay: Dice Rules 
Clerks ,Night Shift 
Clerks ,Joe Dirt 2: Beautiful Loser 
Clerks ,I'm Starting From Three (Ricomincio da Tre) 
Clerks ,My Boyfriend's Back 
Don Juan DeMarco ,Jalla! Jalla! 
Don Juan DeMarco ,Terminal
Don Juan DeMarco ,10 Items or Less 
Don Juan DeMarco ,For Roseanna (Roseanna's Grave) 
Don Juan DeMarco ,Cooler
Disclosure ,The Perfect Guy 
Disclosure ,Niagara 
Disclosure ,First Snow 
Disclosure ,Firm
Disclosure ,Bad Education (La mala educación) 
Drop Zone ,River Wild
Drop Zone ,Collateral Damage 
Drop Zone ,Driven 
Drop Zone ,In the Line of Fire 
Drop Zone ,Nick of Time 
Destiny Turns on the Radio ,Andrew Dice Clay: Dice Rules 
Destiny Turns on the Radio ,Night Shift 
Destiny Turns on the Radio ,Joe Dirt 2: Beautiful Loser 
Destiny Turns on the Radio ,I'm Starting From Three (Ricomincio da Tre) 
Destiny Turns on the Radio ,My Boyfriend's Back 
Death and the Maiden ,The Perfect Guy 
Death and the Maiden ,Niagara 
Death and the Maiden ,First Snow 
Death and the Maiden ,Firm
Death and the Maiden ,Bad Education (La mala educación) 
Dolores Claiborne ,The Perfect Guy 
Dolores Claiborne ,Niagara 
Dolores Claiborne ,First Snow 
Dolores Claiborne ,Firm
Dolores Claiborne ,Bad Education (La mala educación) 
Dumb & Dumber (Dumb and Dumber) ,Crocodile Dundee 
Dumb & Dumber (Dumb and Dumber) ,Weekend at Bernie's II 
Dumb & Dumber (Dumb and Dumber) ,Captain Ron 
Dumb & Dumber (Dumb and Dumber) ,Year One 
Dumb & Dumber (Dumb and Dumber) ,Adventures in Babysitting 
Eat Drink Man Woman (Yin shi nan nu) ,Jalla! Jalla! 
Eat Drink Man Woman (Yin shi nan nu) ,Terminal
Eat Drink Man Woman (Yin shi nan nu) ,10 Items or Less 
Eat Drink Man Woman (Yin shi nan nu) ,For Roseanna (Roseanna's Grave) 
Eat Drink Man Woman (Yin shi nan nu) ,Cooler
Exotica ,French Lieutenant's Woman
Exotica ,Camera Buff (Amator) 
Exotica ,Children Are Watching Us
Exotica ,Return of Martin Guerre
Exotica ,Honey (Miele) 
Exit to Eden ,Andrew Dice Clay: Dice Rules 
Exit to Eden ,Night Shift 
Exit to Eden ,Joe Dirt 2: Beautiful Loser 
Exit to Eden ,I'm Starting From Three (Ricomincio da Tre) 
Exit to Eden ,My Boyfriend's Back 
Ed Wood ,My Father the Hero (Mon père
Ed Wood ,Miracle on 34th Street 
Ed Wood ,Mrs. Doubtfire 
Ed Wood ,Liberal Arts 
Ed Wood ,Mental 
French Kiss ,Knight and Day 
French Kiss ,Date Night 
French Kiss ,Bird on a Wire 
French Kiss ,Mask of Zorro
French Kiss ,Bounty Hunter
Forget Paris ,I'll Be Home For Christmas 
Forget Paris ,Guru
Forget Paris ,Hard Promises 
Forget Paris ,40 Days and 40 Nights 
Forget Paris ,10 
Far From Home: The Adventures of Yellow Dog ,Little Vampire
Far From Home: The Adventures of Yellow Dog ,Spy Kids 2: The Island of Lost Dreams 
Far From Home: The Adventures of Yellow Dog ,Benji 
Far From Home: The Adventures of Yellow Dog ,Amazing Panda Adventure
Far From Home: The Adventures of Yellow Dog ,In Search of the Castaways 
"Goofy Movie, A ",Lady and the Tramp 
"Goofy Movie, A ",Emperor's New Groove 2: Kronk's New Groove
"Goofy Movie, A ",Boniface's Holiday 
"Goofy Movie, A ",Feast 
Hideaway ,Return to Sender 
Hideaway ,Torn Curtain 
Hideaway ,Cop 
Hideaway ,Swimfan 
Fluke ,My Dog Skip 
Fluke ,Secret Garden
Fluke ,I Remember Mama 
Fluke ,Dreamer: Inspired by a True Story 
Fluke ,National Velvet 
Farinelli: il castrato ,You Got Served 
Farinelli: il castrato ,Dreamgirls 
Farinelli: il castrato ,Marat/Sade 
Farinelli: il castrato ,Quadrophenia 
Gordy ,Kazaam 
Gordy ,Aquamarine 
Gordy ,How the Grinch Stole Christmas (a.k.a. The Grinch) 
Gordy ,Addams Family Reunion 
Gordy ,Like Mike 
Hoop Dreams ,Dancemaker 
Hoop Dreams ,Regret to Inform 
Hoop Dreams ,Little Dieter Needs to Fly 
Hoop Dreams ,First Position 
Hoop Dreams ,Amanda Knox 
Heavenly Creatures ,Irrational Man 
Heavenly Creatures ,Mean Streets 
Heavenly Creatures ,Pride and Glory 
Heavenly Creatures ,Felon 
Heavenly Creatures ,Godfather
Houseguest ,Andrew Dice Clay: Dice Rules 
Houseguest ,Night Shift 
Houseguest ,Joe Dirt 2: Beautiful Loser 
Houseguest ,I'm Starting From Three (Ricomincio da Tre) 
Houseguest ,My Boyfriend's Back 
Immortal Beloved ,Crazy/Beautiful 
Immortal Beloved ,Memoirs of a Geisha 
Immortal Beloved ,To Gillian on Her 37th Birthday 
Immortal Beloved ,Beautiful Thing 
Immortal Beloved ,Girl on the Bridge
Heavyweights (Heavy Weights) ,Bad News Bears 
Heavyweights (Heavy Weights) ,Love Bug
Heavyweights (Heavy Weights) ,Mouse Hunt 
Heavyweights (Heavy Weights) ,Home Alone 3 
Heavyweights (Heavy Weights) ,Air Bud 
"Hunted, The ",Tournament
"Hunted, The ",Best of the Best 3: No Turning Back 
"Hunted, The ",Ip Man 2 
"Hunted, The ",Lionheart 
I.Q. ,I'll Be Home For Christmas 
I.Q. ,Guru
I.Q. ,Hard Promises 
I.Q. ,40 Days and 40 Nights 
I.Q. ,10 
Interview with the Vampire: The Vampire Chronicles ,Baxter 
Interview with the Vampire: The Vampire Chronicles ,Martin 
Interview with the Vampire: The Vampire Chronicles ,Ghost Story 
Interview with the Vampire: The Vampire Chronicles ,Confessions (Kokuhaku) 
Interview with the Vampire: The Vampire Chronicles ,Amer 
Jefferson in Paris ,French Lieutenant's Woman
Jefferson in Paris ,Camera Buff (Amator) 
Jefferson in Paris ,Children Are Watching Us
Jefferson in Paris ,Return of Martin Guerre
Jefferson in Paris ,Honey (Miele) 
"Jerky Boys, The ",Andrew Dice Clay: Dice Rules 
"Jerky Boys, The ",Night Shift 
"Jerky Boys, The ",Joe Dirt 2: Beautiful Loser 
"Jerky Boys, The ",I'm Starting From Three (Ricomincio da Tre) 
"Jerky Boys, The ",My Boyfriend's Back 
Junior ,Space Truckers 
Junior ,Freaked 
Junior ,Zapped! 
Junior ,Frequently Asked Questions About Time Travel 
Junior ,Man in the White Suit
Just Cause ,Rear Window 
Just Cause ,Obsession 
Just Cause ,The Wailing 
Just Cause ,Enemy 
Just Cause ,Memento 
"Kid in King Arthur's Court, A ",Son of the Mask 
"Kid in King Arthur's Court, A ",Borrowers
"Kid in King Arthur's Court, A ",Night at the Museum: Secret of the Tomb 
"Kid in King Arthur's Court, A ",Shaggy Dog
Kiss of Death ,Boiler Room 
Kiss of Death ,Citizen X 
Kiss of Death ,Cleanskin 
Kiss of Death ,Perfect World
Kiss of Death ,Anything for Her (Pour elle) 
Star Wars: Episode IV - A New Hope ,Ant-Man 
Star Wars: Episode IV - A New Hope ,20
Star Wars: Episode IV - A New Hope ,Time Machine
Star Wars: Episode IV - A New Hope ,Waterworld 
Star Wars: Episode IV - A New Hope ,X-Men: Days of Future Past 
Little Women ,French Lieutenant's Woman
Little Women ,Camera Buff (Amator) 
Little Women ,Children Are Watching Us
Little Women ,Return of Martin Guerre
Little Women ,Honey (Miele) 
"Little Princess, A ",My Dog Skip 
"Little Princess, A ",Secret Garden
"Little Princess, A ",I Remember Mama 
"Little Princess, A ",Dreamer: Inspired by a True Story 
"Little Princess, A ",National Velvet 
Ladybird Ladybird ,French Lieutenant's Woman
Ladybird Ladybird ,Camera Buff (Amator) 
Ladybird Ladybird ,Children Are Watching Us
Ladybird Ladybird ,Return of Martin Guerre
Ladybird Ladybird ,Honey (Miele) 
Like Water for Chocolate (Como agua para chocolate) ,Orlando 
Like Water for Chocolate (Como agua para chocolate) ,About Time 
Like Water for Chocolate (Como agua para chocolate) ,Wings of Desire (Himmel über Berlin
Like Water for Chocolate (Como agua para chocolate) ,Beautiful Creatures 
Like Water for Chocolate (Como agua para chocolate) ,City of Angels 
Legends of the Fall ,The Alamo 
Legends of the Fall ,Shenandoah 
Legends of the Fall ,Last of the Mohicans
Legends of the Fall ,Alamo
Major Payne ,Andrew Dice Clay: Dice Rules 
Major Payne ,Night Shift 
Major Payne ,Joe Dirt 2: Beautiful Loser 
Major Payne ,I'm Starting From Three (Ricomincio da Tre) 
Major Payne ,My Boyfriend's Back 
My Crazy Life (Mi vida loca) ,French Lieutenant's Woman
My Crazy Life (Mi vida loca) ,Camera Buff (Amator) 
My Crazy Life (Mi vida loca) ,Children Are Watching Us
My Crazy Life (Mi vida loca) ,Return of Martin Guerre
My Crazy Life (Mi vida loca) ,Honey (Miele) 
Love Affair ,Crazy/Beautiful 
Love Affair ,Memoirs of a Geisha 
Love Affair ,To Gillian on Her 37th Birthday 
Love Affair ,Beautiful Thing 
Love Affair ,Girl on the Bridge
Losing Isaiah ,French Lieutenant's Woman
Losing Isaiah ,Camera Buff (Amator) 
Losing Isaiah ,Children Are Watching Us
Losing Isaiah ,Return of Martin Guerre
Losing Isaiah ,Honey (Miele) 
"Madness of King George, The ",My Father the Hero (Mon père
"Madness of King George, The ",Miracle on 34th Street 
"Madness of King George, The ",Mrs. Doubtfire 
"Madness of King George, The ",Liberal Arts 
"Madness of King George, The ",Mental 
Mary Shelley's Frankenstein (Frankenstein) ,Frankenstein Unbound 
Mary Shelley's Frankenstein (Frankenstein) ,Frankenstein Must Be Destroyed 
Mary Shelley's Frankenstein (Frankenstein) ,Last Man on Earth
Mary Shelley's Frankenstein (Frankenstein) ,Victor Frankenstein 
Man of the House ,Andrew Dice Clay: Dice Rules 
Man of the House ,Night Shift 
Man of the House ,Joe Dirt 2: Beautiful Loser 
Man of the House ,I'm Starting From Three (Ricomincio da Tre) 
Man of the House ,My Boyfriend's Back 
Mixed Nuts ,Andrew Dice Clay: Dice Rules 
Mixed Nuts ,Night Shift 
Mixed Nuts ,Joe Dirt 2: Beautiful Loser 
